shot_id,rally_id,shot_nbr,shot_type_orig,shot_type,player_id,entry_ts,btt_before,btt_after,loc_x,loc_y,next_loc_x,next_loc_y,cst_model_id,whtb_model_id,maint_dtm,maint_app,create_dtm,create_app
S1110,R109,4,O,,,,,,,,,,,,2022-04-09 15:00:42.924379+00:00,postgres,2022-04-09 15:00:42.924379+00:00,postgres
S1111,R109,5,O,,,,,,,,,,,,2022-04-09 15:00:42.924687+00:00,postgres,2022-04-09 15:00:42.924687+00:00,postgres
S1112,R109,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.924994+00:00,postgres
S1113,R109,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.925308+00:00,postgres
S1114,R109,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.925620+00:00,postgres
S1115,R109,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.925929+00:00,postgres
S1116,R109,10,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.926251+00:00,postgres
S1117,R109,11,O,,,,,,,,,,,,2022-04-09 15:00:42.926562+00:00,postgres,2022-04-09 15:00:42.926562+00:00,postgres
S1165,R111,40,O,,,,,,,,,,,,2022-04-09 15:00:42.942522+00:00,postgres,2022-04-09 15:00:42.942522+00:00,postgres
S88,R11,4,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.906134+00:00,postgres
S89,R11,5,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.907013+00:00,postgres
S90,R11,6,O,,,,,,,,,,,,2022-04-09 03:19:33.907373+00:00,postgres,2022-04-09 03:19:33.907373+00:00,postgres
S1121,R110,4,O,,,,,,,,,,,,2022-04-09 15:00:42.928263+00:00,postgres,2022-04-09 15:00:42.928263+00:00,postgres
S1122,R110,5,O,,,,,,,,,,,,2022-04-09 15:00:42.928709+00:00,postgres,2022-04-09 15:00:42.928709+00:00,postgres
S1123,R110,6,O,,,,,,,,,,,,2022-04-09 15:00:42.929028+00:00,postgres,2022-04-09 15:00:42.929028+00:00,postgres
S1124,R110,7,O,,,,,,,,,,,,2022-04-09 15:00:42.929339+00:00,postgres,2022-04-09 15:00:42.929339+00:00,postgres
S96,R12,6,O,,,,,,,,,,,,2022-04-09 03:19:33.909909+00:00,postgres,2022-04-09 03:19:33.909909+00:00,postgres
S1129,R111,4,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.931324+00:00,postgres
S1130,R111,5,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.931640+00:00,postgres
S1131,R111,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.931952+00:00,postgres
S1132,R111,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.932261+00:00,postgres
S1133,R111,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.932572+00:00,postgres
S1134,R111,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.932881+00:00,postgres
S1135,R111,10,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.933189+00:00,postgres
S1136,R111,11,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.933500+00:00,postgres
S1137,R111,12,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.933815+00:00,postgres
S1138,R111,13,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.934124+00:00,postgres
S1139,R111,14,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.934434+00:00,postgres
S1140,R111,15,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.934742+00:00,postgres
S1141,R111,16,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.935050+00:00,postgres
S1142,R111,17,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.935375+00:00,postgres
S1143,R111,18,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.935684+00:00,postgres
S1146,R111,21,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.936609+00:00,postgres
S1147,R111,22,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.936917+00:00,postgres
S1148,R111,23,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.937225+00:00,postgres
S1149,R111,24,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.937550+00:00,postgres
S1150,R111,25,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.937863+00:00,postgres
S1151,R111,26,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.938172+00:00,postgres
S1152,R111,27,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.938482+00:00,postgres
S1153,R111,28,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.938794+00:00,postgres
S1154,R111,29,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.939107+00:00,postgres
S1155,R111,30,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.939422+00:00,postgres
S1156,R111,31,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.939740+00:00,postgres
S1157,R111,32,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.940052+00:00,postgres
S1158,R111,33,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.940363+00:00,postgres
S1159,R111,34,O,,,,,,,,,,,,2022-04-09 15:00:42.940672+00:00,postgres,2022-04-09 15:00:42.940672+00:00,postgres
S1160,R111,35,O,,,,,,,,,,,,2022-04-09 15:00:42.940981+00:00,postgres,2022-04-09 15:00:42.940981+00:00,postgres
S1161,R111,36,O,,,,,,,,,,,,2022-04-09 15:00:42.941288+00:00,postgres,2022-04-09 15:00:42.941288+00:00,postgres
S1162,R111,37,O,,,,,,,,,,,,2022-04-09 15:00:42.941595+00:00,postgres,2022-04-09 15:00:42.941595+00:00,postgres
S1163,R111,38,O,,,,,,,,,,,,2022-04-09 15:00:42.941906+00:00,postgres,2022-04-09 15:00:42.941906+00:00,postgres
S1166,R111,41,O,,,,,,,,,,,,2022-04-09 15:00:42.942828+00:00,postgres,2022-04-09 15:00:42.942828+00:00,postgres
S1167,R111,42,O,,,,,,,,,,,,2022-04-09 15:00:42.943134+00:00,postgres,2022-04-09 15:00:42.943134+00:00,postgres
S1168,R111,43,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.943445+00:00,postgres
S1169,R111,44,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.943757+00:00,postgres
S1170,R111,45,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.944546+00:00,postgres
S1171,R111,46,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.944980+00:00,postgres
S1172,R111,47,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.945321+00:00,postgres
S1173,R111,48,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.945650+00:00,postgres
S1174,R111,49,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.945975+00:00,postgres
S1175,R111,50,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.946294+00:00,postgres
S1176,R111,51,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.946612+00:00,postgres
S1177,R111,52,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.946938+00:00,postgres
S1178,R111,53,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.947257+00:00,postgres
S1179,R111,54,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.947572+00:00,postgres
S1180,R111,55,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.947884+00:00,postgres
S1181,R111,56,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.948201+00:00,postgres
S1182,R111,57,O,,,,,,,,,,,,2022-04-09 15:00:42.948514+00:00,postgres,2022-04-09 15:00:42.948514+00:00,postgres
S1183,R111,58,O,,,,,,,,,,,,2022-04-09 15:00:42.948827+00:00,postgres,2022-04-09 15:00:42.948827+00:00,postgres
S11776,R1114,7,D,,P31,2022-08-29 18:40:23.144357,0.3349,0.5305,17.15,6.11,18.39,8.11,,MOD_3,2022-11-22 20:43:46.226840+00:00,postgres,2022-08-29 22:54:30.638352+00:00,postgres
S1187,R112,4,O,,,,,,,,,,,,2022-04-09 15:00:42.950496+00:00,postgres,2022-04-09 15:00:42.950496+00:00,postgres
S18,R2,13,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.878254+00:00,postgres
S1192,R113,4,O,,,,,,,,,,,,2022-04-09 15:00:42.952459+00:00,postgres,2022-04-09 15:00:42.952459+00:00,postgres
S1193,R113,5,O,,,,,,,,,,,,2022-04-09 15:00:42.952771+00:00,postgres,2022-04-09 15:00:42.952771+00:00,postgres
S1194,R113,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.953082+00:00,postgres
S1195,R113,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.953391+00:00,postgres
S1196,R113,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.953700+00:00,postgres
S1197,R113,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.954008+00:00,postgres
S1198,R113,10,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.954321+00:00,postgres
S1199,R113,11,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.954633+00:00,postgres
S1200,R113,12,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.954943+00:00,postgres
S1201,R113,13,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.955250+00:00,postgres
S1202,R113,14,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.955556+00:00,postgres
S1203,R113,15,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.955863+00:00,postgres
S1204,R113,16,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.956341+00:00,postgres
S1205,R113,17,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.956672+00:00,postgres
S1206,R113,18,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.956986+00:00,postgres
S1207,R113,19,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.957297+00:00,postgres
S1212,R114,4,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.959270+00:00,postgres
S1213,R114,5,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.959577+00:00,postgres
S1214,R114,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.959950+00:00,postgres
S1215,R114,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.960308+00:00,postgres
S1216,R114,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.960628+00:00,postgres
S1217,R114,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.960946+00:00,postgres
S1218,R114,10,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.961258+00:00,postgres
S1219,R114,11,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.961572+00:00,postgres
S1220,R114,12,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.961888+00:00,postgres
S1221,R114,13,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.962212+00:00,postgres
S1222,R114,14,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.962547+00:00,postgres
S12019,R1141,3,tsDrv,,,2022-08-30 20:56:56.196730,0.5351,,11.79,22.53,,,,,2022-08-31 01:55:18.285494+00:00,postgres,2022-08-31 01:55:18.285494+00:00,postgres
S19,R2,14,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.878577+00:00,postgres
S24796,R2535,1,SE,,P35,2022-08-31 00:08:38.860842,,,12.05,21.92,,,,,2022-11-10 20:09:24.561914+00:00,aspancake,2022-11-10 20:09:24.561914+00:00,aspancake
S1275,R118,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.790335+00:00,postgres
S1227,R115,4,O,,,,,,,,,,,,2022-04-09 15:00:42.964617+00:00,postgres,2022-04-09 15:00:42.964617+00:00,postgres
S1228,R115,5,O,,,,,,,,,,,,2022-04-09 15:00:42.964931+00:00,postgres,2022-04-09 15:00:42.964931+00:00,postgres
S1229,R115,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.965240+00:00,postgres
S1230,R115,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.965549+00:00,postgres
S1231,R115,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.965860+00:00,postgres
S1232,R115,9,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.966178+00:00,postgres
S1233,R115,10,O,,,,,,,,,,,,2022-04-09 15:00:42.966501+00:00,postgres,2022-04-09 15:00:42.966501+00:00,postgres
S1234,R115,11,O,,,,,,,,,,,,2022-04-09 15:00:42.966825+00:00,postgres,2022-04-09 15:00:42.966825+00:00,postgres
S1235,R115,12,O,,,,,,,,,,,,2022-04-09 15:00:42.967146+00:00,postgres,2022-04-09 15:00:42.967146+00:00,postgres
S1236,R115,13,O,,,,,,,,,,,,2022-04-09 15:00:42.967466+00:00,postgres,2022-04-09 15:00:42.967466+00:00,postgres
S1237,R115,14,O,,,,,,,,,,,,2022-04-09 15:00:42.967784+00:00,postgres,2022-04-09 15:00:42.967784+00:00,postgres
S1238,R115,15,O,,,,,,,,,,,,2022-04-09 15:00:42.968121+00:00,postgres,2022-04-09 15:00:42.968121+00:00,postgres
S1239,R115,16,O,,,,,,,,,,,,2022-04-09 15:00:42.968443+00:00,postgres,2022-04-09 15:00:42.968443+00:00,postgres
S1240,R115,17,O,,,,,,,,,,,,2022-04-09 15:00:42.968761+00:00,postgres,2022-04-09 15:00:42.968761+00:00,postgres
S1241,R115,18,O,,,,,,,,,,,,2022-04-09 15:00:42.969074+00:00,postgres,2022-04-09 15:00:42.969074+00:00,postgres
S1242,R115,19,O,,,,,,,,,,,,2022-04-09 15:00:42.969387+00:00,postgres,2022-04-09 15:00:42.969387+00:00,postgres
S1243,R115,20,O,,,,,,,,,,,,2022-04-09 15:00:42.969698+00:00,postgres,2022-04-09 15:00:42.969698+00:00,postgres
S1244,R115,21,O,,,,,,,,,,,,2022-04-09 15:00:42.970010+00:00,postgres,2022-04-09 15:00:42.970010+00:00,postgres
S1245,R115,22,O,,,,,,,,,,,,2022-04-09 15:00:42.970323+00:00,postgres,2022-04-09 15:00:42.970323+00:00,postgres
S1246,R115,23,O,,,,,,,,,,,,2022-04-09 15:00:42.970635+00:00,postgres,2022-04-09 15:00:42.970635+00:00,postgres
S1247,R115,24,O,,,,,,,,,,,,2022-04-09 15:00:42.970947+00:00,postgres,2022-04-09 15:00:42.970947+00:00,postgres
S17027,R1738,17,D,,P33,2022-10-04 21:46:19.941670,0.3321,0.3017,6.62,8.27,2.84,6.31,,MOD_3,2022-11-22 20:43:46.226840+00:00,postgres,2022-10-05 02:00:45.643798+00:00,postgres
S1272,R118,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.789318+00:00,postgres
S1273,R118,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.789668+00:00,postgres
S1274,R118,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.790005+00:00,postgres
S1254,R117,4,O,,,,,,,,,,,,2022-04-09 15:00:42.974046+00:00,postgres,2022-04-09 15:00:42.974046+00:00,postgres
S1255,R117,5,O,,,,,,,,,,,,2022-04-09 15:00:42.974364+00:00,postgres,2022-04-09 15:00:42.974364+00:00,postgres
S1256,R117,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.974681+00:00,postgres
S1257,R117,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.974994+00:00,postgres
S1258,R117,8,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.975305+00:00,postgres
S1259,R117,9,O,,,,,,,,,,,,2022-04-09 15:00:42.975878+00:00,postgres,2022-04-09 15:00:42.975878+00:00,postgres
S1260,R117,10,O,,,,,,,,,,,,2022-04-09 15:00:42.976400+00:00,postgres,2022-04-09 15:00:42.976400+00:00,postgres
S1261,R117,11,O,,,,,,,,,,,,2022-04-09 15:00:42.976795+00:00,postgres,2022-04-09 15:00:42.976795+00:00,postgres
S1262,R117,12,O,,,,,,,,,,,,2022-04-09 15:00:42.977136+00:00,postgres,2022-04-09 15:00:42.977136+00:00,postgres
S1263,R117,13,O,,,,,,,,,,,,2022-04-09 15:00:42.977465+00:00,postgres,2022-04-09 15:00:42.977465+00:00,postgres
S1264,R117,14,O,,,,,,,,,,,,2022-04-09 15:00:42.977796+00:00,postgres,2022-04-09 15:00:42.977796+00:00,postgres
S1265,R117,15,O,,,,,,,,,,,,2022-04-09 15:00:42.978122+00:00,postgres,2022-04-09 15:00:42.978122+00:00,postgres
S1266,R117,16,O,,,,,,,,,,,,2022-04-09 15:00:42.978450+00:00,postgres,2022-04-09 15:00:42.978450+00:00,postgres
S1270,R118,4,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.788084+00:00,postgres
S1271,R118,5,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:01:06.788889+00:00,postgres
S17414,R1764,36,D,,P57,2022-10-04 21:13:33.209096,0.2202,0.2153,9.21,7.65,18.31,7.28,,MOD_3,2022-11-22 20:43:46.226840+00:00,postgres,2022-10-05 02:01:27.895100+00:00,postgres
S94,R12,4,A,A,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.909259+00:00,postgres
S24839,R2543,1,SE,,P34,2022-08-31 00:13:40.020234,,0.3464,5.92,21.76,3.99,22.72,,,2022-11-10 20:09:26.317426+00:00,aspancake,2022-11-10 20:09:26.317426+00:00,aspancake
S24840,R2543,2,R,,P32,2022-08-31 00:13:42.912504,0.3464,0.2305,3.99,22.72,7.53,22.24,,,2022-11-10 20:09:26.353894+00:00,aspancake,2022-11-10 20:09:26.353894+00:00,aspancake
S24841,R2543,3,tsDrp,,P34,2022-08-31 00:13:45.071525,0.2305,0.2869,7.53,22.24,16.72,8.22,,,2022-11-10 20:09:26.390590+00:00,aspancake,2022-11-10 20:09:26.390590+00:00,aspancake
S24845,R2544,1,SE,,P35,2022-08-31 00:14:13.990499,,0.3422,11.40,21.27,14.95,21.43,,,2022-11-10 20:09:26.546050+00:00,aspancake,2022-11-10 20:09:26.546050+00:00,aspancake
S24846,R2544,2,R,,P33,2022-08-31 00:14:16.856066,0.3422,0.1564,14.95,21.43,12.21,20.95,,,2022-11-10 20:09:26.582804+00:00,aspancake,2022-11-10 20:09:26.582804+00:00,aspancake
