rally_id,match_id,game_id,rally_nbr,srv_team_id,srv_player_id,rtrn_team_id,rtrn_player_id,ts_player_id,ts_type,w_team_id,to_ind,to_team_id,rally_len,srv_switch_ind,rtrn_switch_ind,srv_team_flipped_ind,rtrn_team_flipped_ind,ending_type,ending_player_id,lob_cnt,dink_cnt,maint_dtm,maint_app,create_dtm,create_app
R650,M7,G14,37,T9,P1,T8,P14,P1,Drive,T9,N,N/A,3.0,Y,N,Y,Y,Winner,P1,0,0,2022-07-11 02:40:50.860156+00:00,postgres,2022-07-11 02:40:50.860156+00:00,postgres
R652,M7,G14,39,T9,P16,T8,P14,P1,Drop,T9,N,N/A,14.0,N,N,N,Y,Unforced Error,P15,0,11,2022-07-11 02:40:50.863346+00:00,postgres,2022-07-11 02:40:50.863346+00:00,postgres
R614,M7,G14,1,T8,P14,T9,P1,P14,Drop,T9,N,N/A,10.0,N,N,N,N,Winner,P1,0,0,2022-07-11 02:40:50.605852+00:00,postgres,2022-07-11 02:40:50.605852+00:00,postgres
R616,M7,G14,3,T9,P16,T8,P15,P16,Drop,T8,N,N/A,16.0,N,N,N,N,Winner,P15,0,0,2022-07-11 02:40:50.639305+00:00,postgres,2022-07-11 02:40:50.639305+00:00,postgres
R619,M7,G14,6,T9,P1,T8,P14,P16,Drop,T9,N,N/A,21.0,N,N,N,N,Winner,P1,0,17,2022-07-11 02:40:50.660651+00:00,postgres,2022-07-11 02:40:50.660651+00:00,postgres
R623,M7,G14,10,T9,P1,T8,P14,P1,Drive,T9,N,N/A,4.0,N,N,N,N,Unforced Error,P14,0,0,2022-07-11 02:40:50.681960+00:00,postgres,2022-07-11 02:40:50.681960+00:00,postgres
R632,M7,G14,19,T9,P16,T8,P15,P16,Drop,T9,N,N/A,5.0,N,N,N,N,Winner,P1,0,0,2022-07-11 02:40:50.720303+00:00,postgres,2022-07-11 02:40:50.720303+00:00,postgres
R638,M7,G14,25,T9,P16,T8,P15,P1,Drop,T9,N,N/A,19.0,Y,Y,Y,Y,Winner,P1,0,7,2022-07-11 02:40:50.744980+00:00,postgres,2022-07-11 02:40:50.744980+00:00,postgres
R644,M7,G14,31,T9,P16,T8,P14,P16,Drop,T8,N,N/A,24.0,N,N,N,Y,Winner,P14,0,6,2022-07-11 02:40:50.802447+00:00,postgres,2022-07-11 02:40:50.802447+00:00,postgres
R706,M8,G16,3,T4,P6,T10,P18,P7,N/A,T10,N,N/A,23.0,Y,N,Y,N,Other,N/A,0,8,2022-08-02 20:35:58.919749+00:00,postgres,2022-08-02 20:35:58.919749+00:00,postgres
R707,M8,G16,4,T4,P7,T10,P17,P7,N/A,T10,N,N/A,5.0,Y,N,Y,N,Unforced Error,P6,0,0,2022-08-02 20:35:58.945910+00:00,postgres,2022-08-02 20:35:58.945910+00:00,postgres
R748,M9,G17,2,T12,P21,T11,P19,P22,Drop,T12,N,N/A,4.0,N,N,N,N,Unforced Error,P19,0,1,2022-08-03 03:15:49.082557+00:00,postgres,2022-08-03 03:15:49.082557+00:00,postgres
R709,M8,G16,6,T10,P18,T4,P6,P17,N/A,T10,N,N/A,20.0,N,Y,N,Y,Other,N/A,0,3,2022-08-02 20:35:58.956634+00:00,postgres,2022-08-02 20:35:58.956634+00:00,postgres
R710,M8,G16,7,T10,P18,T4,P7,P17,N/A,T4,N,N/A,9.0,Y,Y,Y,Y,Other,N/A,0,0,2022-08-02 20:35:58.978220+00:00,postgres,2022-08-02 20:35:58.978220+00:00,postgres
R711,M8,G16,8,T4,P7,T10,P18,P7,N/A,T10,N,N/A,3.0,Y,Y,Y,Y,Unforced Error,P7,0,0,2022-08-02 20:35:58.988413+00:00,postgres,2022-08-02 20:35:58.988413+00:00,postgres
R649,M7,G14,36,T9,P1,T8,P15,P1,Drop,T9,N,N/A,6.0,N,N,N,Y,Unforced Error,P15,0,1,2022-07-11 02:40:50.855393+00:00,postgres,2022-07-11 02:40:50.855393+00:00,postgres
R653,M7,G15,1,T9,P1,T8,P14,P1,Drop,T8,N,N/A,13.0,N,Y,N,N,Unforced Error,P16,0,6,2022-07-11 02:46:19.633201+00:00,postgres,2022-07-11 02:46:19.633201+00:00,postgres
R712,M8,G16,9,T4,P6,T10,P17,P6,N/A,T10,N,N/A,8.0,Y,N,Y,Y,Other,N/A,0,0,2022-08-02 20:35:58.991920+00:00,postgres,2022-08-02 20:35:58.991920+00:00,postgres
R655,M7,G15,3,T8,P14,T9,P16,P14,Drive,T8,N,N/A,8.0,N,N,Y,N,Other,N/A,0,0,2022-07-11 02:46:19.670050+00:00,postgres,2022-07-11 02:46:19.670050+00:00,postgres
R656,M7,G15,4,T8,P14,T9,P1,P14,Drop,T8,N,N/A,5.0,Y,N,N,N,Winner,P15,0,0,2022-07-11 02:46:19.674616+00:00,postgres,2022-07-11 02:46:19.674616+00:00,postgres
R713,M8,G16,10,T10,P18,T4,P7,P17,N/A,T10,N,N/A,7.0,Y,Y,Y,Y,Winner,P17,0,0,2022-08-02 20:35:58.999364+00:00,postgres,2022-08-02 20:35:58.999364+00:00,postgres
R658,M7,G15,6,T8,P15,T9,P1,P14,Drop,T9,N,N/A,24.0,N,N,Y,N,Other,N/A,0,17,2022-07-11 02:46:19.693563+00:00,postgres,2022-07-11 02:46:19.693563+00:00,postgres
R659,M7,G15,7,T9,P1,T8,P15,P1,Drop,T8,N,N/A,7.0,Y,N,N,Y,Other,N/A,0,2,2022-07-11 02:46:19.707385+00:00,postgres,2022-07-11 02:46:19.707385+00:00,postgres
R660,M7,G15,8,T9,P16,T8,P14,P1,Drop,T8,N,N/A,5.0,Y,N,N,Y,Other,N/A,0,0,2022-07-11 02:46:19.712353+00:00,postgres,2022-07-11 02:46:19.712353+00:00,postgres
R661,M7,G15,9,T8,P15,T9,P1,P14,Drop,T9,N,N/A,7.0,N,N,Y,N,Other,N/A,0,0,2022-07-11 02:46:19.715424+00:00,postgres,2022-07-11 02:46:19.715424+00:00,postgres
R662,M7,G15,10,T8,P14,T9,P16,P14,Drop,T9,N,N/A,8.0,N,N,Y,N,Other,N/A,0,4,2022-07-11 02:46:19.719467+00:00,postgres,2022-07-11 02:46:19.719467+00:00,postgres
R663,M7,G15,11,T9,P1,T8,P15,P16,Drop,T9,N,N/A,10.0,N,N,N,Y,Other,N/A,0,1,2022-07-11 02:46:19.724223+00:00,postgres,2022-07-11 02:46:19.724223+00:00,postgres
R664,M7,G15,12,T9,P1,T8,P14,P1,Drive,T9,N,N/A,24.0,Y,N,Y,Y,Other,N/A,0,0,2022-07-11 02:46:19.730929+00:00,postgres,2022-07-11 02:46:19.730929+00:00,postgres
R665,M7,G15,13,T9,P1,T8,P15,P1,Drop,T8,N,N/A,6.0,N,N,N,Y,Winner,P14,0,0,2022-07-11 02:46:19.743692+00:00,postgres,2022-07-11 02:46:19.743692+00:00,postgres
R666,M7,G15,14,T9,P16,T8,P14,P1,Drop,T9,N,N/A,10.0,N,N,N,Y,Unforced Error,P14,0,6,2022-07-11 02:46:19.747801+00:00,postgres,2022-07-11 02:46:19.747801+00:00,postgres
R667,M7,G15,15,T9,P16,T8,P15,P16,Drive,T9,N,N/A,5.0,N,N,Y,Y,Winner,P16,0,0,2022-07-11 02:46:19.753307+00:00,postgres,2022-07-11 02:46:19.753307+00:00,postgres
R714,M8,G16,11,T10,P18,T4,P6,P17,N/A,T10,N,N/A,26.0,N,Y,N,Y,Other,N/A,0,9,2022-08-02 20:35:59.007714+00:00,postgres,2022-08-02 20:35:59.007714+00:00,postgres
R670,M7,G15,18,T9,P16,T8,P15,P16,Drop,T8,N,N/A,3.0,Y,N,Y,Y,Unforced Error,P16,0,0,2022-07-11 02:46:19.775674+00:00,postgres,2022-07-11 02:46:19.775674+00:00,postgres
R671,M7,G15,19,T8,P15,T9,P16,P14,Drive,T8,N,N/A,15.0,N,N,Y,Y,Other,N/A,0,1,2022-07-11 02:46:19.778129+00:00,postgres,2022-07-11 02:46:19.778129+00:00,postgres
R672,M7,G15,20,T8,P15,T9,P1,P15,Drive,T9,N,N/A,39.0,Y,N,N,Y,Other,N/A,0,14,2022-07-11 02:46:19.786765+00:00,postgres,2022-07-11 02:46:19.786765+00:00,postgres
R673,M7,G15,21,T8,P14,T9,P16,P15,Drop,T8,N,N/A,8.0,Y,N,N,Y,Other,N/A,0,5,2022-07-11 02:46:19.808198+00:00,postgres,2022-07-11 02:46:19.808198+00:00,postgres
R674,M7,G15,22,T8,P14,T9,P1,P14,Drop,T9,N,N/A,5.0,N,N,Y,Y,Unforced Error,P15,0,1,2022-07-11 02:46:19.813643+00:00,postgres,2022-07-11 02:46:19.813643+00:00,postgres
R675,M7,G15,23,T9,P16,T8,P15,P1,Drop,T9,N,N/A,19.0,N,N,Y,Y,Other,N/A,0,7,2022-07-11 02:46:19.816574+00:00,postgres,2022-07-11 02:46:19.816574+00:00,postgres
R676,M7,G15,24,T9,P16,T8,P14,P1,Drop,T9,N,N/A,5.0,Y,N,N,Y,Winner,P16,0,0,2022-07-11 02:46:19.827091+00:00,postgres,2022-07-11 02:46:19.827091+00:00,postgres
R677,M7,G15,25,T9,P16,T8,P15,P1,Drop,T8,N,N/A,9.0,N,Y,Y,Y,Other,N/A,0,0,2022-07-11 02:46:19.830687+00:00,postgres,2022-07-11 02:46:19.830687+00:00,postgres
R678,M7,G15,26,T9,P1,T8,P14,P1,Drive,T8,N,N/A,10.0,N,Y,Y,Y,Winner,P15,0,2,2022-07-11 02:46:19.835626+00:00,postgres,2022-07-11 02:46:19.835626+00:00,postgres
R679,M7,G15,27,T8,P15,T9,P16,P14,Drop,T9,N,N/A,11.0,Y,N,Y,Y,Other,N/A,1,3,2022-07-11 02:46:19.841349+00:00,postgres,2022-07-11 02:46:19.841349+00:00,postgres
R681,M7,G15,29,T9,P16,T8,P15,P1,Drop,T8,N,N/A,27.0,N,Y,Y,Y,Unforced Error,P1,0,10,2022-07-11 02:46:19.857707+00:00,postgres,2022-07-11 02:46:19.857707+00:00,postgres
R682,M7,G15,30,T9,P1,T8,P14,P16,Drive,T8,N,N/A,21.0,N,Y,Y,Y,Other,N/A,0,7,2022-07-11 02:46:19.872532+00:00,postgres,2022-07-11 02:46:19.872532+00:00,postgres
R683,M7,G15,31,T8,P15,T9,P16,P14,Drop,T9,N,N/A,3.0,Y,N,Y,Y,Unforced Error,P14,0,0,2022-07-11 02:46:19.884879+00:00,postgres,2022-07-11 02:46:19.884879+00:00,postgres
R684,M7,G15,32,T8,P14,T9,P1,P15,Drop,T9,N,N/A,19.0,Y,N,Y,Y,Other,N/A,0,16,2022-07-11 02:46:19.886804+00:00,postgres,2022-07-11 02:46:19.886804+00:00,postgres
R685,M7,G15,33,T9,P16,T8,P15,P16,Drop,T8,N,N/A,7.0,N,Y,Y,Y,Other,N/A,0,0,2022-07-11 02:46:19.899259+00:00,postgres,2022-07-11 02:46:19.899259+00:00,postgres
R686,M7,G15,34,T9,P1,T8,P14,P1,Drop,T9,N,N/A,10.0,N,Y,Y,Y,Other,N/A,0,0,2022-07-11 02:46:19.903207+00:00,postgres,2022-07-11 02:46:19.903207+00:00,postgres
R688,M7,G15,36,T9,P1,T8,P15,P16,Drop,T8,N,N/A,9.0,Y,Y,N,Y,Other,N/A,0,2,2022-07-11 02:46:19.909456+00:00,postgres,2022-07-11 02:46:19.909456+00:00,postgres
R689,M7,G15,37,T8,P15,T9,P1,P15,Drive,T9,N,N/A,3.0,Y,N,Y,N,Unforced Error,P15,0,0,2022-07-11 02:46:19.915133+00:00,postgres,2022-07-11 02:46:19.915133+00:00,postgres
R690,M7,G15,38,T8,P14,T9,P16,P14,Drop,T9,N,N/A,6.0,Y,N,Y,N,Winner,P1,0,0,2022-07-11 02:46:19.917061+00:00,postgres,2022-07-11 02:46:19.917061+00:00,postgres
R691,M7,G15,39,T9,P1,T8,P15,P1,Drive,T8,N,N/A,30.0,N,Y,N,Y,Other,N/A,1,12,2022-07-11 02:46:19.920478+00:00,postgres,2022-07-11 02:46:19.920478+00:00,postgres
R692,M7,G15,40,T9,P16,T8,P14,P16,Drive,T8,N,N/A,3.0,N,Y,N,Y,Unforced Error,P16,0,0,2022-07-11 02:46:19.937665+00:00,postgres,2022-07-11 02:46:19.937665+00:00,postgres
R693,M7,G15,41,T8,P15,T9,P1,P15,Drop,T8,N,N/A,4.0,N,N,Y,N,Unforced Error,P16,0,1,2022-07-11 02:46:19.939638+00:00,postgres,2022-07-11 02:46:19.939638+00:00,postgres
R1797,M24,G38,4,T38,P59,T32,P50,P60,Drop,T38,N,N/A,13.0,N,N,N,N,Other,N/A,0,6,2022-10-16 19:22:35.011765+00:00,postgres,2022-10-16 19:22:35.011765+00:00,postgres
R47,M1,G1,47,T2,P4,T1,P1,P4,Drop,T1,N,N/A,7.0,N,N,Y,N,Other,N/A,0,2,2022-04-09 03:19:34.046771+00:00,postgres,2022-04-09 03:19:34.046771+00:00,postgres
R49,M1,G1,49,T1,P1,T2,P4,P1,Drop,T1,N,N/A,9.0,Y,N,N,Y,Winner,P1,0,1,2022-04-09 03:19:34.055949+00:00,postgres,2022-04-09 03:19:34.055949+00:00,postgres
R52,M1,G1,52,T1,P2,T2,P4,P1,Drop,T2,N,N/A,7.0,N,N,Y,Y,Other,N/A,1,0,2022-04-09 03:19:34.061290+00:00,postgres,2022-04-09 03:19:34.061290+00:00,postgres
R695,M7,G15,43,T8,P14,T9,P1,P15,Drop,T9,N,N/A,32.0,Y,N,N,N,Other,N/A,0,12,2022-07-11 02:46:19.948202+00:00,postgres,2022-07-11 02:46:19.948202+00:00,postgres
R697,M7,G15,45,T9,P16,T8,P15,P16,Drop,T8,N,N/A,6.0,N,N,N,N,Winner,P15,0,1,2022-07-11 02:46:19.984235+00:00,postgres,2022-07-11 02:46:19.984235+00:00,postgres
R699,M7,G15,47,T8,P14,T9,P1,P15,Drop,T9,N,N/A,4.0,N,N,N,N,Winner,P1,0,0,2022-07-11 02:46:19.988102+00:00,postgres,2022-07-11 02:46:19.988102+00:00,postgres
R700,M7,G15,48,T8,P15,T9,P16,P15,Drive,T9,N,N/A,5.0,N,N,N,N,Other,N/A,0,0,2022-07-11 02:46:19.990551+00:00,postgres,2022-07-11 02:46:19.990551+00:00,postgres
R701,M7,G15,49,T9,P1,T8,P14,P1,Drop,T9,N,N/A,6.0,N,N,N,N,Unforced Error,P15,0,0,2022-07-11 02:46:19.993614+00:00,postgres,2022-07-11 02:46:19.993614+00:00,postgres
R702,M7,G15,50,T9,P1,T8,P15,P1,Drop,T9,N,N/A,13.0,Y,N,Y,N,Other,N/A,0,1,2022-07-11 02:46:19.997740+00:00,postgres,2022-07-11 02:46:19.997740+00:00,postgres
R703,M7,G15,51,T9,P1,T8,P14,P1,Drive,T9,N,N/A,12.0,N,N,N,N,Other,N/A,0,0,2022-07-11 02:46:20.005157+00:00,postgres,2022-07-11 02:46:20.005157+00:00,postgres
R654,M7,G15,2,T8,P14,T9,P1,P14,Drop,T8,N,N/A,7.0,Y,N,N,N,Winner,P14,0,0,2022-07-11 02:46:19.664905+00:00,postgres,2022-07-11 02:46:19.664905+00:00,postgres
R657,M7,G15,5,T8,P14,T9,P16,P14,Drop,T9,N,N/A,25.0,N,N,Y,N,Unforced Error,P15,0,9,2022-07-11 02:46:19.677914+00:00,postgres,2022-07-11 02:46:19.677914+00:00,postgres
R668,M7,G15,16,T9,P16,T8,P14,P16,Drop,T9,N,N/A,35.0,N,N,N,Y,Winner,P1,1,23,2022-07-11 02:46:19.756185+00:00,postgres,2022-07-11 02:46:19.756185+00:00,postgres
R680,M7,G15,28,T8,P14,T9,P1,P15,Drop,T9,N,N/A,16.0,Y,N,Y,Y,Winner,P1,0,9,2022-07-11 02:46:19.848630+00:00,postgres,2022-07-11 02:46:19.848630+00:00,postgres
R694,M7,G15,42,T8,P15,T9,P16,P15,Drop,T9,N,N/A,8.0,Y,N,N,N,Winner,P16,0,2,2022-07-11 02:46:19.942022+00:00,postgres,2022-07-11 02:46:19.942022+00:00,postgres
R696,M7,G15,44,T9,P1,T8,P14,P16,Drop,T8,N,N/A,32.0,N,N,N,N,Winner,P15,0,16,2022-07-11 02:46:19.965696+00:00,postgres,2022-07-11 02:46:19.965696+00:00,postgres
R749,M9,G17,3,T12,P21,T11,P20,P22,Drop,T12,N,N/A,4.0,Y,N,Y,N,Unforced Error,P20,0,1,2022-08-03 03:15:49.087478+00:00,postgres,2022-08-03 03:15:49.087478+00:00,postgres
R750,M9,G17,4,T12,P21,T11,P19,P22,Drop,T12,N,N/A,14.0,N,N,N,N,Other,N/A,0,8,2022-08-03 03:15:49.091950+00:00,postgres,2022-08-03 03:15:49.091950+00:00,postgres
R718,M8,G16,15,T10,P17,T4,P6,P17,N/A,T4,N,N/A,5.0,Y,Y,Y,Y,Other,N/A,0,0,2022-08-02 20:35:59.052133+00:00,postgres,2022-08-02 20:35:59.052133+00:00,postgres
R719,M8,G16,16,T4,P7,T10,P18,P7,N/A,T4,N,N/A,14.0,Y,Y,Y,Y,Other,N/A,0,7,2022-08-02 20:35:59.057474+00:00,postgres,2022-08-02 20:35:59.057474+00:00,postgres
R720,M8,G16,17,T4,P7,T10,P17,P6,N/A,T10,N,N/A,7.0,N,Y,N,Y,Other,N/A,0,0,2022-08-02 20:35:59.074849+00:00,postgres,2022-08-02 20:35:59.074849+00:00,postgres
R721,M8,G16,18,T4,P6,T10,P18,P6,N/A,T4,N,N/A,10.0,N,Y,N,Y,Unforced Error,P18,0,6,2022-08-02 20:35:59.084717+00:00,postgres,2022-08-02 20:35:59.084717+00:00,postgres
R722,M8,G16,19,T4,P6,T10,P17,P6,N/A,T10,N,N/A,8.0,Y,Y,Y,Y,Other,N/A,0,3,2022-08-02 20:35:59.095921+00:00,postgres,2022-08-02 20:35:59.095921+00:00,postgres
R724,M8,G16,21,T10,P18,T4,P6,N/A,N/A,T4,N,N/A,12.0,N,Y,N,Y,Winner,P6,0,3,2022-08-02 20:35:59.107689+00:00,postgres,2022-08-02 20:35:59.107689+00:00,postgres
R725,M8,G16,22,T10,P17,T4,P7,P18,N/A,T4,N,N/A,14.0,N,Y,N,Y,Winner,P7,1,9,2022-08-02 20:35:59.120533+00:00,postgres,2022-08-02 20:35:59.120533+00:00,postgres
R726,M8,G16,23,T4,P7,T10,P17,P7,N/A,T4,N,N/A,5.0,Y,N,Y,N,Winner,P6,0,0,2022-08-02 20:35:59.136606+00:00,postgres,2022-08-02 20:35:59.136606+00:00,postgres
R727,M8,G16,24,T4,P7,T10,P18,P6,N/A,T10,N,N/A,3.0,N,N,N,N,Unforced Error,P6,0,0,2022-08-02 20:35:59.141890+00:00,postgres,2022-08-02 20:35:59.141890+00:00,postgres
R728,M8,G16,25,T4,P6,T10,P17,P6,N/A,T10,N,N/A,14.0,N,N,N,N,Winner,P17,0,1,2022-08-02 20:35:59.145889+00:00,postgres,2022-08-02 20:35:59.145889+00:00,postgres
R729,M8,G16,26,T10,P17,T4,P6,P17,N/A,T4,N,N/A,13.0,N,N,N,N,Unforced Error,P18,0,9,2022-08-02 20:35:59.160707+00:00,postgres,2022-08-02 20:35:59.160707+00:00,postgres
R730,M8,G16,27,T10,P18,T4,P7,P18,N/A,T10,N,N/A,18.0,N,N,N,N,Other,N/A,0,10,2022-08-02 20:35:59.173728+00:00,postgres,2022-08-02 20:35:59.173728+00:00,postgres
R731,M8,G16,28,T10,P18,T4,P6,P17,N/A,T4,N,N/A,13.0,Y,N,Y,N,Unforced Error,P17,0,7,2022-08-02 20:35:59.192047+00:00,postgres,2022-08-02 20:35:59.192047+00:00,postgres
R732,M8,G16,29,T4,P6,T10,P18,P7,N/A,T10,N,N/A,19.0,N,Y,N,Y,Other,N/A,1,0,2022-08-02 20:35:59.205142+00:00,postgres,2022-08-02 20:35:59.205142+00:00,postgres
R733,M8,G16,30,T4,P7,T10,P17,P6,N/A,T4,N,N/A,20.0,N,Y,N,Y,Unforced Error,P17,0,15,2022-08-02 20:35:59.225866+00:00,postgres,2022-08-02 20:35:59.225866+00:00,postgres
R734,M8,G16,31,T4,P7,T10,P18,P7,N/A,T4,N,N/A,5.0,Y,Y,Y,Y,Winner,P6,0,0,2022-08-02 20:35:59.245932+00:00,postgres,2022-08-02 20:35:59.245932+00:00,postgres
R736,M8,G16,33,T4,P7,T10,P18,P7,N/A,T4,N,N/A,26.0,Y,Y,Y,Y,Unforced Error,P18,0,20,2022-08-02 20:35:59.253791+00:00,postgres,2022-08-02 20:35:59.253791+00:00,postgres
R737,M8,G16,34,T4,P7,T10,P17,P6,N/A,T4,N,N/A,4.0,N,Y,N,Y,Unforced Error,P18,0,0,2022-08-02 20:35:59.280586+00:00,postgres,2022-08-02 20:35:59.280586+00:00,postgres
R738,M8,G16,35,T4,P7,T10,P18,P7,N/A,T4,N,N/A,14.0,Y,Y,Y,Y,Other,N/A,0,4,2022-08-02 20:35:59.285171+00:00,postgres,2022-08-02 20:35:59.285171+00:00,postgres
R739,M8,G16,36,T4,P7,T10,P17,P6,N/A,T10,N,N/A,15.0,N,Y,N,Y,Unforced Error,P6,0,9,2022-08-02 20:35:59.299256+00:00,postgres,2022-08-02 20:35:59.299256+00:00,postgres
R740,M8,G16,37,T10,P18,T4,P6,P17,N/A,T10,N,N/A,9.0,Y,N,Y,N,Winner,P17,0,5,2022-08-02 20:35:59.314621+00:00,postgres,2022-08-02 20:35:59.314621+00:00,postgres
